ACCOUNT_CHROME.autoplay	fr_es	Lecture auto à la révélation
ACCOUNT_CHROME.autoplay	immersion	Reproducción automática al revelar
ACCOUNT_CHROME.autoplay	totale	Reproducción automática al revelar
ACCOUNT_CHROME.autoplayHelp	fr_es	Prononce le mot quand la réponse s’affiche.
ACCOUNT_CHROME.autoplayHelp	immersion	Pronuncia la palabra cuando aparece la respuesta.
ACCOUNT_CHROME.autoplayHelp	totale	Pronuncia la palabra cuando aparece la respuesta.
ACCOUNT_CHROME.cardsPerSession	fr_es	Cartes par session
ACCOUNT_CHROME.cardsPerSession	immersion	Tarjetas por sesión
ACCOUNT_CHROME.cardsPerSession	totale	Tarjetas por sesión
ACCOUNT_CHROME.cardsPerSessionHelp	fr_es	Nombre de cartes par révision.
ACCOUNT_CHROME.cardsPerSessionHelp	immersion	Número de tarjetas por repaso.
ACCOUNT_CHROME.cardsPerSessionHelp	totale	Número de tarjetas por repaso.
ACCOUNT_CHROME.changePassword	fr_es	Changer le mot de passe
ACCOUNT_CHROME.changePassword	immersion	Cambiar la contraseña
ACCOUNT_CHROME.changePassword	totale	Cambiar la contraseña
ACCOUNT_CHROME.changePasswordStay	fr_es	Tu resteras connecté sur cet appareil.
ACCOUNT_CHROME.changePasswordStay	immersion	Seguirás conectado en este dispositivo.
ACCOUNT_CHROME.changePasswordStay	totale	Seguirás conectado en este dispositivo.
ACCOUNT_CHROME.confirmToken	fr_es	SUPPRIMER
ACCOUNT_CHROME.confirmToken	immersion	ELIMINAR
ACCOUNT_CHROME.confirmToken	totale	ELIMINAR
ACCOUNT_CHROME.dailyReminder	fr_es	Rappel quotidien de révision
ACCOUNT_CHROME.dailyReminder	immersion	Recordatorio diario de repaso
ACCOUNT_CHROME.dailyReminder	totale	Recordatorio diario de repaso
ACCOUNT_CHROME.dailyReminderHelp	fr_es	Une notification à l’heure choisie.
ACCOUNT_CHROME.dailyReminderHelp	immersion	Una notificación a la hora elegida.
ACCOUNT_CHROME.dailyReminderHelp	totale	Una notificación a la hora elegida.
ACCOUNT_CHROME.deleteAccount	fr_es	Supprimer mon compte
ACCOUNT_CHROME.deleteAccount	immersion	Eliminar mi cuenta
ACCOUNT_CHROME.deleteAccount	totale	Eliminar mi cuenta
ACCOUNT_CHROME.deletePermanently	fr_es	Supprimer définitivement
ACCOUNT_CHROME.deletePermanently	immersion	Eliminar definitivamente
ACCOUNT_CHROME.deletePermanently	totale	Eliminar definitivamente
ACCOUNT_CHROME.deleteTitle	fr_es	Supprimer ton compte ?
ACCOUNT_CHROME.deleteTitle	immersion	¿Eliminar tu cuenta?
ACCOUNT_CHROME.deleteTitle	totale	¿Eliminar tu cuenta?
ACCOUNT_CHROME.deleting	fr_es	Suppression…
ACCOUNT_CHROME.deleting	immersion	Eliminando…
ACCOUNT_CHROME.deleting	totale	Eliminando…
ACCOUNT_CHROME.discoveryThemes	fr_es	Thèmes Discovery
ACCOUNT_CHROME.discoveryThemes	immersion	Temas de Descubrir
ACCOUNT_CHROME.discoveryThemes	totale	Temas de Descubrir
